country,iso3,label,baseline_local,local_price,variation_local,local_currency,local_range,Date
Burundi,BDI,Apples (1kg),6910.51,6881.74,-0.42,FBu,3780.5-10000,2021-02-07
Curacao,CUW,Apples (1kg),6.48,6.66,2.78,NAf,5-8,2021-02-07
Sint Maarten,SXM,Apples (1kg),3.99,4.27,7.09,$,3-5,2021-02-07
Martinique,MTQ,Apples (1kg),2.27,2.27,0.0,€,1.57-3,2021-02-07
Cyprus,CYP,Apples (1kg),1.81,1.98,9.39,€,0.86-2.6,2021-02-07
Armenia,ARM,Apples (1kg),456.41,489.58,7.27,AMD,250-799.99,2021-02-07
Brunei,BRN,Apples (1kg),3.4,4.5,32.35,S$,1.79-5,2021-02-07
Bosnia And Herzegovina,BIH,Apples (1kg),1.72,1.74,1.16,KM,0.99-2.49,2021-02-07
Dominica,DMA,Apples (1kg),22.44,22.42,-0.09,EC$,19.84-25,2021-02-07
Belgium,BEL,Apples (1kg),2.17,2.27,4.48,€,0.99-3,2021-02-07
Bhutan,BTN,Apples (1kg),234.11,300.06,28.17,₹,100-400.01,2021-02-07
El Salvador,SLV,Apples (1kg),3.24,2.71,-16.36,$,0.99-4.5,2021-02-07
Egypt,EGY,Apples (1kg),23.48,23.8,1.36,EG£,10.01-31.99,2021-02-07
Timor-Leste,TLS,Apples (1kg),7.5,5.71,-23.85,$,3-8,2021-02-07
Dominican Republic,DOM,Apples (1kg),120.51,126.33,4.83,RD$,75.99-220.46,2021-02-07
Us Virgin Islands,VIR,Apples (1kg),6.31,6.66,5.55,$,3.53-13.21,2021-02-07
Burkina Faso,BFA,Apples (1kg),1350.0,1350.0,0.0,CFA,1200-1500,2021-02-07
Brazil,BRA,Apples (1kg),5.89,7.32,24.33,R$,3-11.99,2021-02-07
Cameroon,CMR,Apples (1kg),1351.27,1646.15,21.82,CFA,949.99-2499.99,2021-02-07
Jersey,JEY,Apples (1kg),2.8,3.15,12.5,£,0.99-3.99,2021-02-07
Taiwan,TWN,Apples (1kg),134.11,131.68,-1.81,NT$,60.01-200,2021-02-07
Argentina,ARG,Apples (1kg),69.27,1.41,-97.96,$,0.79-2.16,2021-02-07
Bermuda,BMU,Apples (1kg),9.24,9.99,8.12,$,5-13.01,2021-02-07
Guam,GUM,Apples (1kg),4.3,7.65,77.91,$,2.01-14.33,2021-02-07
Bulgaria,BGR,Apples (1kg),1.88,2.16,14.89,лв,0.99-3,2021-02-07
South Sudan,SSD,Apples (1kg),6.5,6.5,0.0,$,3.99-8.99,2021-02-07
Czech Republic,CZE,Apples (1kg),30.85,34.87,13.04,Kč,20-50,2021-02-07
Algeria,DZA,Apples (1kg),259.43,267.22,3.0,DZD,120-479.99,2021-02-07
Bolivia,BOL,Apples (1kg),15.13,15.79,4.36,Bs.,5-36,2021-02-07
Bahamas,BHS,Apples (1kg),3.77,3.96,5.15,$,2.2-6.61,2021-02-07
Marshall Islands,MHL,Apples (1kg),7.72,7.72,0.0,$,6.61-8.8,2021-02-07
Ecuador,ECU,Apples (1kg),2.06,2.01,-2.43,$,0.99-3.51,2021-02-07
Aland Islands,ALA,Apples (1kg),1.8,1.9,5.56,€,1.65-2.49,2021-02-07
Bangladesh,BGD,Apples (1kg),163.92,162.15,-1.08,৳,100-200,2021-02-07
Botswana,BWA,Apples (1kg),17.85,20.13,12.77,P,11.99-25,2021-02-07
Cambodia,KHM,Apples (1kg),3.55,4.08,14.93,$,2.01-5.49,2021-02-07
Barbados,BRB,Apples (1kg),8.0,7.1,-11.3,Bds$,3.31-15.43,2021-02-07
Estonia,EST,Apples (1kg),1.06,1.39,31.13,€,0.6-2.49,2021-02-07
Turks And Caicos Islands,TCA,Apples (1kg),4.14,4.14,0.0,$,3.31-5,2021-02-07
Macao,MAC,Apples (1kg),36.16,32.32,-10.62,P,14.99-50,2021-02-07
Hong Kong,HKG,Apples (1kg),27.87,30.27,8.61,HK$,11.02-50,2021-02-07
United States,USA,Apples (1kg),4.48,4.53,1.08,$,2.16-8.8,2021-02-07
Maldives,MDV,Apples (1kg),32.5,39.99,23.05,Rf,25-70,2021-02-07
Venezuela,VEN,Apples (1kg),3.78,5.09,34.58,$,1.76-8,2021-02-07
Cape Verde,CPV,Apples (1kg),273.47,275.0,0.56,Esc,250-300,2021-02-07
Liberia,LBR,Apples (1kg),2.76,2.76,0.0,$,2.49-3,2021-02-07
Croatia,HRV,Apples (1kg),8.94,9.79,9.48,kn,5-15.12,2021-02-07
Faroe Islands,FRO,Apples (1kg),23.31,23.32,0.04,kr,20-25,2021-02-07
Guinea-Bissau,GNB,Apples (1kg),1375.0,1375.0,0.0,CFA,749.99-2000.01,2021-02-07
Uzbekistan,UZB,Apples (1kg),0.97,1.31,34.61,$,0.71-2.05,2021-02-07
Colombia,COL,Apples (1kg),6043.18,6982.45,15.54,Col$,2499.99-10000,2021-02-07
Congo,COG,Apples (1kg),6.21,6.31,1.61,$,3-8,2021-02-07
Zimbabwe,ZWE,Apples (1kg),3.75,3.15,-16.0,$,2.01-5,2021-02-07
Aruba,ABW,Apples (1kg),4.83,4.41,-8.7,$,3.35-8,2021-02-07
Tonga,TON,Apples (1kg),4.5,4.5,0.0,T$,3-6,2021-02-07
Chad,TCD,Apples (1kg),2709.1,3057.5,12.86,CFA,1200.22-4000,2021-02-07
Djibouti,DJI,Apples (1kg),749.57,700.01,-6.61,Fdj,400.01-999.99,2021-02-07
Costa Rica,CRI,Apples (1kg),2313.64,2371.75,2.51,₡,999.99-4000,2021-02-07
Guadeloupe,GLP,Apples (1kg),3.51,3.51,0.0,€,3-3.99,2021-02-07
Cuba,CUB,Apples (1kg),4.22,6.33,50.0,$,1.26-11.02,2021-02-07
Chile,CHL,Apples (1kg),1079.99,1163.16,7.7,CL$,550.01-1990,2021-02-07
Solomon Islands,SLB,Apples (1kg),36.99,36.99,0.0,SI$,30-44,2021-02-07
Vietnam,VNM,Apples (1kg),64763.43,65593.93,1.28,₫,30000.01-100000,2021-02-07
United Kingdom,GBR,Apples (1kg),1.78,1.81,1.69,£,0.99-3,2021-02-07
Belarus,BLR,Apples (1kg),2.24,3.24,44.64,BYN,1.83-5,2021-02-07
Equatorial Guinea,GNQ,Apples (1kg),2000.67,2666.66,33.29,CFA,999.99-4000,2021-02-07
Bahrain,BHR,Apples (1kg),0.84,0.9,7.14,BHD,0.51-1.7,2021-02-07
Cayman Islands,CYM,Apples (1kg),8.77,7.36,-16.08,KY$,4.25-10.01,2021-02-07
Denmark,DNK,Apples (1kg),18.38,18.71,1.78,kr,10.01-25,2021-02-07
Benin,BEN,Apples (1kg),1830.12,2000.01,9.28,CFA,999.99-2499.99,2021-02-07
Vanuatu,VUT,Apples (1kg),349.68,402.91,15.22,VT,225-550.01,2021-02-07
China,CHN,Apples (1kg),12.95,12.87,-0.61,¥,5-22.05,2021-02-07
Canada,CAN,Apples (1kg),3.91,4.13,5.74,C$,1.65-6.59,2021-02-07
Austria,AUT,Apples (1kg),2.25,2.25,-0.13,€,0.99-3,2021-02-07
French Polynesia,PYF,Apples (1kg),422.49,481.67,14.01,F,218.35-600.01,2021-02-07
Cambodia,KHM,Apples (1kg),3.55,3.95,11.27,$,2.01-5,2021-05-16
Uzbekistan,UZB,Apples (1kg),0.97,1.39,43.3,$,0.71-2.05,2021-05-16
Congo,COG,Apples (1kg),6.21,6.31,1.61,$,3-8,2021-05-16
Burundi,BDI,Apples (1kg),6910.51,6922.77,0.18,FBu,3863.22-10000,2021-05-16
Solomon Islands,SLB,Apples (1kg),36.99,32.99,-10.81,SI$,25-44,2021-05-16
Sint Maarten,SXM,Apples (1kg),3.99,4.32,8.27,$,3-5,2021-05-16
Cyprus,CYP,Apples (1kg),1.81,2.01,11.05,€,0.86-3,2021-05-16
Bahrain,BHR,Apples (1kg),0.84,0.86,2.38,BHD,0.51-1.19,2021-05-16
Liberia,LBR,Apples (1kg),2.76,,,NULL,NULL,2021-05-16
Bahamas,BHS,Apples (1kg),3.77,4.08,8.22,$,2.2-5,2021-05-16
Botswana,BWA,Apples (1kg),17.85,20.04,12.27,P,8-26.94,2021-05-16
Aruba,ABW,Apples (1kg),4.83,4.59,-4.97,$,3.75-8,2021-05-16
Guinea-Bissau,GNB,Apples (1kg),1375.0,1375.0,0.0,CFA,749.99-2000.01,2021-05-16
Marshall Islands,MHL,Apples (1kg),7.72,7.72,0.0,$,6.61-8.8,2021-05-16
Jersey,JEY,Apples (1kg),2.8,3.15,12.5,£,0.99-3.99,2021-05-16
Denmark,DNK,Apples (1kg),18.38,19.08,3.8,kr,10.01-25,2021-05-16
Canada,CAN,Apples (1kg),3.91,4.12,5.37,C$,1.68-6.59,2021-05-16
Sint Maarten,SXM,Apples (1kg),3.99,,,NULL,NULL,2021-05-16
Bangladesh,BGD,Apples (1kg),163.92,158.73,-3.17,৳,100-200,2021-05-16
Vanuatu,VUT,Apples (1kg),349.68,,,NULL,NULL,2021-05-16
French Polynesia,PYF,Apples (1kg),422.49,403.56,-4.48,F,216.3-600.01,2021-05-16
United States,USA,Apples (1kg),4.48,4.53,1.04,$,2.16-8.8,2021-05-16
Ecuador,ECU,Apples (1kg),2.06,2.07,0.49,$,0.99-3.99,2021-05-16
Estonia,EST,Apples (1kg),1.06,1.45,36.93,€,0.51-2.49,2021-05-16
Macao,MAC,Apples (1kg),36.16,,,NULL,NULL,2021-05-16
Belarus,BLR,Apples (1kg),2.24,3.16,40.88,BYN,1.85-5,2021-05-16
Niger,NER,Apples (1kg),1250.0,1250.0,0.0,CFA,999.99-1500,2021-05-16
Taiwan,TWN,Apples (1kg),134.11,134.2,0.07,NT$,60.01-300,2021-05-16
Guam,GUM,Apples (1kg),4.3,6.83,58.84,$,2.01-14.33,2021-05-16
Us Virgin Islands,VIR,Apples (1kg),6.31,,,NULL,NULL,2021-05-16
El Salvador,SLV,Apples (1kg),3.24,2.87,-11.42,$,0.99-5,2021-05-16
Tonga,TON,Apples (1kg),4.5,,,NULL,NULL,2021-05-16
Marshall Islands,MHL,Apples (1kg),7.72,,,NULL,NULL,2021-05-16
Guam,GUM,Apples (1kg),4.3,,,NULL,NULL,2021-05-16
Belgium,BEL,Apples (1kg),2.17,2.27,4.48,€,1.34-3,2021-05-16
Dominican Republic,DOM,Apples (1kg),120.51,125.99,4.55,RD$,75.99-220.46,2021-05-16
Jersey,JEY,Apples (1kg),2.8,,,NULL,NULL,2021-05-16
United Kingdom,GBR,Apples (1kg),1.78,1.83,2.81,£,0.99-3,2021-05-16
Chad,TCD,Apples (1kg),2709.1,3163.0,16.75,CFA,1188.93-4000,2021-05-16
Venezuela,VEN,Apples (1kg),3.78,5.09,34.66,$,1.76-8,2021-05-16
Zimbabwe,ZWE,Apples (1kg),3.75,3.0,-20.0,$,2.01-5,2021-05-16
Vietnam,VNM,Apples (1kg),64763.43,,,NULL,NULL,2021-05-16
Martinique,MTQ,Apples (1kg),2.27,2.27,0.0,€,1.57-3,2021-05-16
Barbados,BRB,Apples (1kg),8.0,7.63,-4.63,Bds$,2.84-13.23,2021-05-16
Turks And Caicos Islands,TCA,Apples (1kg),4.14,4.14,0.0,$,3.31-5,2021-05-16
Bhutan,BTN,Apples (1kg),234.11,285.03,21.75,₹,100-400.01,2021-05-16
Algeria,DZA,Apples (1kg),259.43,270.99,4.46,DZD,100-450.01,2021-05-16
Curacao,CUW,Apples (1kg),6.48,6.66,2.78,NAf,5-8,2021-05-16
Maldives,MDV,Apples (1kg),32.5,,,NULL,NULL,2021-05-16
Costa Rica,CRI,Apples (1kg),2313.64,2362.33,2.1,₡,999.99-3950,2021-05-16
United Kingdom,GBR,Apples (1kg),1.78,,,NULL,NULL,2021-05-16
Cuba,CUB,Apples (1kg),4.22,6.33,50.0,$,1.26-11.02,2021-05-16
Armenia,ARM,Apples (1kg),456.41,486.09,6.5,AMD,250-799.99,2021-05-16
Colombia,COL,Apples (1kg),6043.18,7040.47,16.5,Col$,2800-10000,2021-05-16
South Sudan,SSD,Apples (1kg),6.5,6.5,0.0,$,3.99-8.99,2021-05-16
Macao,MAC,Apples (1kg),36.16,32.32,-10.62,P,14.99-50,2021-05-16
Zimbabwe,ZWE,Apples (1kg),3.75,,,NULL,NULL,2021-05-16
Equatorial Guinea,GNQ,Apples (1kg),2000.67,3333.34,66.61,CFA,999.99-4000,2021-05-16
Croatia,HRV,Apples (1kg),8.94,9.66,8.05,kn,3.99-14.99,2021-05-16
Dominica,DMA,Apples (1kg),22.44,22.42,-0.09,EC$,19.84-25,2021-05-16
Uzbekistan,UZB,Apples (1kg),0.97,,,NULL,NULL,2021-05-16
Cameroon,CMR,Apples (1kg),1351.27,1766.67,30.74,CFA,949.99-3000,2021-05-16
Guinea-Bissau,GNB,Apples (1kg),1375.0,,,NULL,NULL,2021-05-16
Liberia,LBR,Apples (1kg),2.76,2.76,0.0,$,2.49-3,2021-05-16
Vanuatu,VUT,Apples (1kg),349.68,403.51,15.39,VT,225-550.01,2021-05-16
Bolivia,BOL,Apples (1kg),15.13,16.34,8.0,Bs.,5-36,2021-05-16
Turks And Caicos Islands,TCA,Apples (1kg),4.14,,,NULL,NULL,2021-05-16
South Sudan,SSD,Apples (1kg),6.5,,,NULL,NULL,2021-05-16
Cape Verde,CPV,Apples (1kg),273.47,275.0,0.56,Esc,250-300,2021-05-16
Chile,CHL,Apples (1kg),1079.99,1209.58,12.0,CL$,500.01-1990,2021-05-16
Cayman Islands,CYM,Apples (1kg),8.77,5.93,-32.38,KY$,1.9-7.98,2021-05-16
Djibouti,DJI,Apples (1kg),749.57,700.01,-6.61,Fdj,400.01-999.99,2021-05-16
Niger,NER,Apples (1kg),1250.0,,,NULL,NULL,2021-05-16
Martinique,MTQ,Apples (1kg),2.27,,,NULL,NULL,2021-05-16
Argentina,ARG,Apples (1kg),69.27,1.59,-97.7,$,0.99-3,2021-05-16
Us Virgin Islands,VIR,Apples (1kg),6.31,6.66,5.55,$,3.53-13.21,2021-05-16
Bermuda,BMU,Apples (1kg),9.24,11.09,20.02,$,5-17.64,2021-05-16
Benin,BEN,Apples (1kg),1830.12,2000.01,9.28,CFA,999.99-2499.99,2021-05-16
Hong Kong,HKG,Apples (1kg),27.87,30.64,9.92,HK$,11.02-55.12,2021-05-16
Egypt,EGY,Apples (1kg),23.48,24.22,3.16,EG£,11.99-34,2021-05-16
Timor-Leste,TLS,Apples (1kg),7.5,5.0,-33.33,$,3-7.01,2021-05-16
French Polynesia,PYF,Apples (1kg),422.49,,,NULL,NULL,2021-05-16
Bulgaria,BGR,Apples (1kg),1.88,2.18,15.96,лв,0.99-3,2021-05-16
Aland Islands,ALA,Apples (1kg),1.8,1.9,5.56,€,1.65-2.49,2021-05-16
Guadeloupe,GLP,Apples (1kg),3.51,3.51,0.0,€,3-3.99,2021-05-16
Hong Kong,HKG,Apples (1kg),27.87,,,NULL,NULL,2021-05-16
Guadeloupe,GLP,Apples (1kg),3.51,,,NULL,NULL,2021-05-16
Faroe Islands,FRO,Apples (1kg),23.31,23.32,0.04,kr,20-25,2021-05-16
Solomon Islands,SLB,Apples (1kg),36.99,,,NULL,NULL,2021-05-16
Vietnam,VNM,Apples (1kg),64763.43,63799.16,-1.49,₫,30000.01-90000,2021-05-16
Maldives,MDV,Apples (1kg),32.5,41.67,28.22,Rf,25-50,2021-05-16
Taiwan,TWN,Apples (1kg),134.11,,,NULL,NULL,2021-05-16
Timor-Leste,TLS,Apples (1kg),7.5,,,NULL,NULL,2021-05-16
Tonga,TON,Apples (1kg),4.5,6.33,40.67,T$,3-10.01,2021-05-16
Czech Republic,CZE,Apples (1kg),30.85,35.51,15.11,Kč,20-50,2021-05-16
Burkina Faso,BFA,Apples (1kg),1350.0,1233.33,-8.64,CFA,999.99-1500,2021-05-16
Austria,AUT,Apples (1kg),2.25,2.2,-2.22,€,0.99-3,2021-05-16
Brazil,BRA,Apples (1kg),5.89,7.35,24.86,R$,3.15-11.99,2021-05-16
Venezuela,VEN,Apples (1kg),3.78,,,NULL,NULL,2021-05-16
United States,USA,Apples (1kg),4.48,,,NULL,NULL,2021-05-16
China,CHN,Apples (1kg),12.95,12.6,-2.74,¥,5-22.05,2021-05-16
Bosnia And Herzegovina,BIH,Apples (1kg),1.72,1.72,0.0,KM,0.99-2.49,2021-05-16
Brunei,BRN,Apples (1kg),3.4,4.63,36.18,S$,1.79-5,2021-05-16
United States,USA,Apples (1kg),4.48,4.85,8.26,$,0.99-4.00,2023-04-09
Saint Vincent And The Grenadines,VCT,Apples (1kg),15.92,31.61,98.56,EC$,5.44-22.68,2023-04-09
China,CHN,Apples (1kg),12.95,13.15,1.51,¥,2.27-9.98,2023-04-09
Burundi,BDI,Apples (1kg),6910.51,11333.33,64.0,FBu,4535.93-5443.11,2023-04-09
Canada,CAN,Apples (1kg),3.91,4.92,25.9,C$,0.91-3.63,2023-04-09
Aland Islands,ALA,Apples (1kg),1.8,2.14,18.89,€,0.82-1.13,2023-04-09
Algeria,DZA,Apples (1kg),259.43,357.71,37.88,DZD,63.50-249.48,2023-04-09
Jersey,JEY,Apples (1kg),2.8,2.91,3.93,£,0.45-1.81,2023-04-09
Tonga,TON,Apples (1kg),4.5,6.33,40.67,T$,1.36-4.54,2023-04-09
Bahamas,BHS,Apples (1kg),3.77,3.81,1.06,$,0.91-4.08,2023-04-09
Sint Maarten,SXM,Apples (1kg),3.99,4.01,0.5,$,1.13-2.72,2023-04-09
Cuba,CUB,Apples (1kg),4.22,7.01,66.11,$,0.91-5.00,2023-04-09
Benin,BEN,Apples (1kg),1830.12,1750.01,-4.38,CFA,453.59-907.19,2023-04-09
Maldives,MDV,Apples (1kg),32.5,46.12,41.91,Rf,11.34-31.75,2023-04-09
Bosnia And Herzegovina,BIH,Apples (1kg),1.72,1.92,11.63,KM,0.45-1.36,2023-04-09
United Kingdom,GBR,Apples (1kg),1.78,1.94,8.99,£,0.45-1.36,2023-04-09
Costa Rica,CRI,Apples (1kg),2313.64,2267.87,-1.98,₡,453.59-1814.37,2023-04-09
Cameroon,CMR,Apples (1kg),1351.27,1865.64,38.07,CFA,453.59-1587.58,2023-04-09
Equatorial Guinea,GNQ,Apples (1kg),2000.67,4000.0,99.93,CFA,1133.98-2721.56,2023-04-09
Burkina Faso,BFA,Apples (1kg),1350.0,1233.18,-8.65,CFA,453.59-680.39,2023-04-09
Liechtenstein,LIE,Apples (1kg),1.92,2.57,33.63,Fr.,,2023-04-09
Saint Kitts And Nevis,KNA,Apples (1kg),6.0,6.0,0.0,EC$,,2023-04-09
Bhutan,BTN,Apples (1kg),234.11,262.58,12.16,Nu.,68.04-181.74,2023-04-09
Us Virgin Islands,VIR,Apples (1kg),6.31,8.0,26.78,$,1.60-6.00,2023-04-09
Marshall Islands,MHL,Apples (1kg),7.72,6.9,-10.62,$,2.27-3.99,2023-04-09
Colombia,COL,Apples (1kg),6043.18,8833.36,46.17,Col$,1500.00-6350.30,2023-04-09
Guinea-Bissau,GNB,Apples (1kg),1375.0,1375.0,0.0,CFA,340.19-907.19,2023-04-09
Vietnam,VNM,Apples (1kg),64763.43,77380.63,19.48,₫,13607.79-68038.94,2023-04-09
Bermuda,BMU,Apples (1kg),9.24,11.2,21.21,$,2.50-8.16,2023-04-09
Cambodia,KHM,Apples (1kg),3.55,3.53,-0.56,$,0.91-2.27,2023-04-09
Niger,NER,Apples (1kg),1250.0,1875.01,50.0,CFA,453.59-1360.78,2023-04-09
Faroe Islands,FRO,Apples (1kg),23.31,21.67,-7.04,kr,6.80-11.34,2023-04-09
Liberia,LBR,Apples (1kg),2.76,2.49,-9.78,$,0.91-1.36,2023-04-09
Guam,GUM,Apples (1kg),4.3,8.82,105.12,$,1.49-6.50,2023-04-09
Cyprus,CYP,Apples (1kg),1.81,2.38,31.49,€,0.54-1.36,2023-04-09
Barbados,BRB,Apples (1kg),8.0,7.74,-3.25,Bds$,1.13-5.44,2023-04-09
Timor-Leste,TLS,Apples (1kg),7.5,5.0,-33.33,$,1.36-3.18,2023-04-09
El Salvador,SLV,Apples (1kg),3.24,3.2,-1.23,$,0.91-2.27,2023-04-09
Belgium,BEL,Apples (1kg),2.17,2.25,3.69,€,0.54-1.36,2023-04-09
Samoa,WSM,Apples (1kg),6.61,6.61,0.0,WST,,2023-04-09
South Sudan,SSD,Apples (1kg),6.5,6.5,0.0,$,1.81-4.08,2023-04-09
Zimbabwe,ZWE,Apples (1kg),3.75,3.24,-13.52,$,0.45-2.72,2023-04-09
Belarus,BLR,Apples (1kg),2.24,3.48,55.36,BYN,0.88-2.27,2023-04-09
Cayman Islands,CYM,Apples (1kg),8.77,6.24,-28.85,KY$,0.86-4.00,2023-04-09
Estonia,EST,Apples (1kg),1.06,1.6,51.08,€,0.27-1.18,2023-04-09
Bolivia,BOL,Apples (1kg),15.13,16.09,6.35,Bs.,3.93-15.88,2023-04-09
Bangladesh,BGD,Apples (1kg),163.92,216.0,31.77,৳,54.43-136.08,2023-04-09
Antigua And Barbuda,ATG,Apples (1kg),24.03,24.03,0.0,EC$,6.80-15.00,2023-04-09
Brazil,BRA,Apples (1kg),5.89,8.51,44.48,R$,1.81-6.35,2023-04-09
Curacao,CUW,Apples (1kg),6.48,7.1,9.57,NAf,2.67-4.54,2023-04-09
Austria,AUT,Apples (1kg),2.25,2.3,2.03,€,0.45-1.36,2023-04-09
Brunei,BRN,Apples (1kg),3.4,5.05,48.53,S$,1.59-3.84,2023-04-09
Bulgaria,BGR,Apples (1kg),1.88,2.45,30.32,лв,0.59-1.81,2023-04-09
Dominican Republic,DOM,Apples (1kg),120.51,147.53,22.42,RD$,36.29-100.00,2023-04-09
Czech Republic,CZE,Apples (1kg),30.85,35.9,16.36,Kč,9.07-22.68,2023-04-09
Botswana,BWA,Apples (1kg),17.85,22.99,28.8,P,4.54-15.42,2023-04-09
Uzbekistan,UZB,Apples (1kg),0.97,1.19,22.68,$,0.31-0.91,2023-04-09
Cape Verde,CPV,Apples (1kg),273.47,252.01,-7.85,Esc,102.06-136.08,2023-04-09
Armenia,ARM,Apples (1kg),456.41,504.35,10.5,AMD,136.08-408.23,2023-04-09
Guadeloupe,GLP,Apples (1kg),3.51,2.95,-15.95,€,1.32-1.36,2023-04-09
Solomon Islands,SLB,Apples (1kg),36.99,36.33,-1.78,SI$,4.54-19.96,2023-04-09
Argentina,ARG,Apples (1kg),69.27,1.52,-97.81,$,0.34-1.18,2023-04-09
Croatia,HRV,Apples (1kg),8.94,1.3,-85.46,€,0.36-0.88,2023-04-09
Chile,CHL,Apples (1kg),1079.99,1556.43,44.12,CL$,272.16-1133.98,2023-04-09
Chad,TCD,Apples (1kg),2709.1,2609.01,-3.69,CFA,602.00-1587.58,2023-04-09
Vanuatu,VUT,Apples (1kg),349.68,523.33,49.66,VT,213.19-249.48,2023-04-09
Venezuela,VEN,Apples (1kg),3.78,4.41,16.67,$,0.91-3.18,2023-04-09
Aruba,ABW,Apples (1kg),4.83,4.74,-1.86,$,1.70-3.63,2023-04-09
Ecuador,ECU,Apples (1kg),2.06,1.96,-4.85,$,0.45-1.81,2023-04-09
Turks And Caicos Islands,TCA,Apples (1kg),4.14,3.31,-20.05,$,,2023-04-09
Martinique,MTQ,Apples (1kg),2.27,3.24,42.73,€,0.71-1.63,2023-04-09
Djibouti,DJI,Apples (1kg),749.57,700.01,-6.61,Fdj,181.44-453.59,2023-04-09
French Polynesia,PYF,Apples (1kg),422.49,412.02,-2.48,F,109.52-272.16,2023-04-09
Denmark,DNK,Apples (1kg),18.38,20.37,10.81,kr,4.54-12.70,2023-04-09
Egypt,EGY,Apples (1kg),23.48,30.72,30.83,EG£,6.80-22.68,2023-04-09
Bahrain,BHR,Apples (1kg),0.84,0.86,2.38,BHD,0.23-0.59,2023-04-09
Congo,COG,Apples (1kg),6.21,5.64,-9.18,$,1.36-9.07,2023-04-09
Brunei,BRN,Apples (1kg),3.4,4.63,36.18,S$,1.79-5,2021-03-28
Colombia,COL,Apples (1kg),6043.18,6973.81,15.4,Col$,2499.99-10000,2021-03-28
Tonga,TON,Apples (1kg),4.5,4.5,0.0,T$,3-6,2021-03-28
Cayman Islands,CYM,Apples (1kg),8.77,7.36,-16.08,KY$,4.25-10.01,2021-03-28
Czech Republic,CZE,Apples (1kg),30.85,35.91,16.41,Kč,20-55.01,2021-03-28
Congo,COG,Apples (1kg),6.21,6.31,1.61,$,3-8,2021-03-28
Guadeloupe,GLP,Apples (1kg),3.51,3.51,0.0,€,3-3.99,2021-03-28
South Sudan,SSD,Apples (1kg),6.5,6.5,0.0,$,3.99-8.99,2021-03-28
Belgium,BEL,Apples (1kg),2.17,2.27,4.61,€,1.34-3,2021-03-28
Martinique,MTQ,Apples (1kg),2.27,2.27,0.0,€,1.57-3,2021-03-28
Algeria,DZA,Apples (1kg),259.43,269.82,4.0,DZD,120-450.01,2021-03-28
Cuba,CUB,Apples (1kg),4.22,6.33,50.0,$,1.26-11.02,2021-03-28
Venezuela,VEN,Apples (1kg),3.78,5.18,37.04,$,1.76-8,2021-03-28
Aland Islands,ALA,Apples (1kg),1.8,1.9,5.56,€,1.65-2.49,2021-03-28
Zimbabwe,ZWE,Apples (1kg),3.75,3.15,-16.0,$,2.01-5,2021-03-28
Sint Maarten,SXM,Apples (1kg),3.99,4.32,8.27,$,3-5,2021-03-28
Bahamas,BHS,Apples (1kg),3.77,4.08,8.22,$,2.2-5,2021-03-28
Guinea-Bissau,GNB,Apples (1kg),1375.0,1375.0,0.0,CFA,749.99-2000.01,2021-03-28
Cambodia,KHM,Apples (1kg),3.55,3.99,12.51,$,2.01-5.49,2021-03-28
Armenia,ARM,Apples (1kg),456.41,485.87,6.46,AMD,250-799.99,2021-03-28
Denmark,DNK,Apples (1kg),18.38,18.88,2.7,kr,10.01-25,2021-03-28
Aruba,ABW,Apples (1kg),4.83,4.52,-6.46,$,3.75-8,2021-03-28
Timor-Leste,TLS,Apples (1kg),7.5,5.0,-33.33,$,3-7.01,2021-03-28
United States,USA,Apples (1kg),4.48,4.52,0.89,$,2.16-8.8,2021-03-28
Solomon Islands,SLB,Apples (1kg),36.99,36.99,0.0,SI$,30-44,2021-03-28
Chad,TCD,Apples (1kg),2709.1,3183.36,17.51,CFA,1234.19-4000,2021-03-28
Macao,MAC,Apples (1kg),36.16,32.32,-10.62,P,14.99-50,2021-03-28
Costa Rica,CRI,Apples (1kg),2313.64,2402.59,3.84,₡,999.99-3950,2021-03-28
Taiwan,TWN,Apples (1kg),134.11,134.16,0.04,NT$,60.01-300,2021-03-28
Argentina,ARG,Apples (1kg),69.27,1.74,-97.49,$,0.99-3,2021-03-28
Bulgaria,BGR,Apples (1kg),1.88,2.19,16.6,лв,0.99-3,2021-03-28
Chile,CHL,Apples (1kg),1079.99,1196.26,10.77,CL$,600.01-1990,2021-03-28
Cyprus,CYP,Apples (1kg),1.81,1.96,8.29,€,0.86-2.6,2021-03-28
French Polynesia,PYF,Apples (1kg),422.49,436.57,3.33,F,224.52-600.01,2021-03-28
Brazil,BRA,Apples (1kg),5.89,7.37,25.06,R$,3.15-11.99,2021-03-28
Belarus,BLR,Apples (1kg),2.24,3.17,41.34,BYN,1.85-5,2021-03-28
Bolivia,BOL,Apples (1kg),15.13,15.79,4.36,Bs.,5-36,2021-03-28
Faroe Islands,FRO,Apples (1kg),23.31,23.32,0.04,kr,20-25,2021-03-28
Liberia,LBR,Apples (1kg),2.76,2.76,0.0,$,2.49-3,2021-03-28
Curacao,CUW,Apples (1kg),6.48,6.66,2.78,NAf,5-8,2021-03-28
Guam,GUM,Apples (1kg),4.3,8.53,98.37,$,2.01-14.33,2021-03-28
Cameroon,CMR,Apples (1kg),1351.27,1683.34,24.57,CFA,949.99-3000,2021-03-28
Hong Kong,HKG,Apples (1kg),27.87,31.13,11.71,HK$,11.99-55.12,2021-03-28
